,Unnamed: 0.1,Unnamed: 0,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
228,228,228,High Desert State Bank,Albuquerque,NM,35279,First American Bank,25-Jun-10,14-Sep-12
229,229,229,First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",25-Jun-10,5-Nov-12
230,230,230,Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",25-Jun-10,5-Nov-12
231,231,231,Nevada Security Bank,Reno,NV,57110,Umpqua Bank,18-Jun-10,23-Aug-12
232,232,232,Washington First International Bank,Seattle,WA,32955,East West Bank,11-Jun-10,14-Sep-12
233,233,233,TierOne Bank,Lincoln,NE,29341,Great Western Bank,4-Jun-10,14-Sep-12
234,234,234,Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,4-Jun-10,14-Sep-12
235,235,235,First National Bank,Rosedale,MS,15814,The Jefferson Bank,4-Jun-10,5-Nov-12
236,236,236,Sun West Bank,Las Vegas,NV,34785,City National Bank,28-May-10,14-Sep-12
237,237,237,"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,28-May-10,14-Sep-12
238,238,238,Bank of Florida - Tampa,Tampa,FL,57814,EverBank,28-May-10,5-Nov-12
239,239,239,Bank of Florida - Southwest,Naples,FL,35106,EverBank,28-May-10,5-Nov-12
240,240,240,Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,28-May-10,5-Nov-12
241,241,241,Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,21-May-10,26-Oct-12
242,242,242,Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",14-May-10,23-Aug-12
243,243,243,Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,14-May-10,23-Aug-12
244,244,244,New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,14-May-10,23-Aug-12
245,245,245,Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,14-May-10,5-Nov-12
246,246,246,1st Pacific Bank of California,San Diego,CA,35517,City National Bank,7-May-10,13-Dec-12
247,247,247,Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,7-May-10,23-Aug-12
248,248,248,Access Bank,Champlin,MN,16476,PrinsBank,7-May-10,23-Aug-12
249,249,249,The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,7-May-10,5-Nov-12
250,250,250,Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",30-Apr-10,15-Jan-13
251,251,251,BC National Banks,Butler,MO,17792,Community First Bank,30-Apr-10,23-Aug-12
252,252,252,Champion Bank,Creve Coeur,MO,58362,BankLiberty,30-Apr-10,23-Aug-12
253,253,253,CF Bancorp,Port Huron,MI,30005,First Michigan Bank,30-Apr-10,15-Jan-13
254,254,254,Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,30-Apr-10,5-Nov-12
255,255,255,R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,30-Apr-10,5-Nov-12
256,256,256,Eurobank,San Juan,PR,27150,Oriental Bank and Trust,30-Apr-10,5-Nov-12
257,257,257,Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,23-Apr-10,23-Aug-12
258,258,258,Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,23-Apr-10,23-Aug-12
259,259,259,Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,23-Apr-10,23-Aug-12
260,260,260,New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",23-Apr-10,23-Aug-12
261,261,261,Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,23-Apr-10,23-Aug-12
262,262,262,Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",23-Apr-10,23-Aug-12
263,263,263,"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,23-Apr-10,23-Aug-12
264,264,264,City Bank,Lynnwood,WA,21521,Whidbey Island Bank,16-Apr-10,14-Sep-12
265,265,265,Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,23-Aug-12
266,266,266,Innovative Bank,Oakland,CA,23876,Center Bank,16-Apr-10,23-Aug-12
267,267,267,Butler Bank,Lowell,MA,26619,People's United Bank,16-Apr-10,23-Aug-12
268,268,268,Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,5-Nov-12
269,269,269,AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,31-Oct-12
270,270,270,First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,15-Jan-13
271,271,271,Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,16-Apr-10,23-Aug-12
272,272,272,Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,5-Nov-12
273,273,273,Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,23-Aug-12
274,274,274,Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,14-Sep-12
275,275,275,Key West Bank,Key West,FL,34684,Centennial Bank,26-Mar-10,23-Aug-12
276,276,276,McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,26-Mar-10,23-Aug-12
277,277,277,State Bank of Aurora,Aurora,MN,8221,Northern State Bank,19-Mar-10,23-Aug-12
278,278,278,First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,19-Mar-10,23-Aug-12
279,279,279,Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,19-Mar-10,23-Aug-12
280,280,280,Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,19-Mar-10,31-Oct-12
281,281,281,Advanta Bank Corp.,Draper,UT,33535,No Acquirer,19-Mar-10,14-Sep-12
282,282,282,Century Security Bank,Duluth,GA,58104,Bank of Upson,19-Mar-10,23-Aug-12
283,283,283,American National Bank,Parma,OH,18806,The National Bank and Trust Company,19-Mar-10,23-Aug-12
284,284,284,Statewide Bank,Covington,LA,29561,Home Bank,12-Mar-10,23-Aug-12
285,285,285,Old Southern Bank,Orlando,FL,58182,Centennial Bank,12-Mar-10,23-Aug-12
286,286,286,The Park Avenue Bank,New York,NY,27096,Valley National Bank,12-Mar-10,23-Aug-12
287,287,287,LibertyPointe Bank,New York,NY,58071,Valley National Bank,11-Mar-10,23-Aug-12
288,288,288,Centennial Bank,Ogden,UT,34430,No Acquirer,5-Mar-10,14-Sep-12
289,289,289,Waterfield Bank,Germantown,MD,34976,No Acquirer,5-Mar-10,23-Aug-12
290,290,290,Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,5-Mar-10,23-Aug-12
291,291,291,Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,5-Mar-10,23-Aug-12
292,292,292,Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,26-Feb-10,23-Aug-12
293,293,293,Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,26-Feb-10,15-Jan-13
294,294,294,"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",19-Feb-10,24-Aug-12
295,295,295,George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",19-Feb-10,24-Aug-12
296,296,296,The La Coste National Bank,La Coste,TX,3287,Community National Bank,19-Feb-10,14-Sep-12
297,297,297,Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,19-Feb-10,24-Aug-12
298,298,298,1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",5-Feb-10,24-Aug-12
299,299,299,American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,29-Jan-10,24-Aug-12
